id,title,weightPerServing,dishTypes,calories,Saturated Fat/g,Sugar/g,Cholesterol/mg,Sodium/mg,Vitamin B3/mg,Selenium/?g,Phosphorus/mg,Iron/mg,Vitamin B2/mg,Calcium/mg,Vitamin B1/mg,Folate/?g,Potassium/mg,Copper/mg,Zinc/mg,Manganese/mg,Magnesium/mg,Vitamin B12/?g,Vitamin B5/mg,Vitamin B6/mg,Vitamin E/mg,Fiber/g,Vitamin A/IU,Vitamin D/?g,Vitamin K/?g,Vitamin C/mg,Alcohol/g,Caffeine/g,Fat,Carbon,Protein,ingredients
1,Fried Anchovies with Sage,200,"lunch,main course,main dish,dinner",372.57,3.6,0.17,145.28,955.48,23.67,73.82,428.72,7.22,0.66,295.1,0.42,96.75,778.81,0.43,3.09,0.4,73.36,1.07,1.38,0.26,1.09,1.16,154.8,0.29,0,0,0,0,10.53,32.53,36.92,"anchovies,baking powder,egg,flour,sage leaves,salt,seltzer water,vegetable oil"
2,Anchovies Appetizer With Breadcrumbs & Scallions,115,"antipasti,starter,snack,appetizer,antipasto,hor d'oeuvre",57.07,0.47,0.5,12.76,59.43,3.42,9.85,49.24,0.99,0.08,43.55,0.05,9.86,103.37,0.06,0.46,0.11,12.62,0.13,0.2,0.04,0.29,0.38,0,0,7.18,0,0,0,2.28,3.79,5.13,"anchovies,bread,garlic clove,olive oil,scallions"
3,"Carrots, Cauliflower And Anchovies",200,"lunch,main course,main dish,dinner",978.96,9,11.09,1.92,296.97,2.86,2.24,223.51,4.49,0.43,207.76,0.18,96.54,848.6,0.41,1.53,1.03,122.71,0,0.78,0.27,17.01,9.99,21572.42,0,104.27,32.6,0,0,72.72,64.61,16.51,"acini di pepe,almonds,anchovies,carrots,cauliflower,extra virgin olive oil,extra-virgin olive oil,lemon juice,rocket,salt and pepper"
4,Bap Story: Stir Fried Anchovies (Myulchi Bokkeum),200,"lunch,main course,main dish,dinner",652.64,36.39,14.09,436.23,583.67,50.14,207.74,1139.83,9.35,1.99,406.7,2.76,19.75,1875.89,1.22,17.27,2.3,187.05,3.64,5.24,2.73,5.23,2.1,180.52,6.24,16.02,3.88,0,0,5,24.3,127.61,"anchovies,baby-back ribs,cooking oil,frying oil,garlic,garlic,ground ginger,pine nuts,plum,rice syrup,rice syrup,sesame seeds,sugar,sprinkle"
5,"Bread, Butter And Anchovies",81,,112.75,2.8,1.71,10.75,276.25,1.68,8.14,44.24,1.02,0.08,40.64,0.13,24.41,52.96,0.05,0.34,0.34,13.64,0,0.24,0.03,0.19,1.24,128.27,0,2.21,0,0,0,5.05,13.95,3.13,"bread,capers,salted anchovies,unsalted butter"
6,Fried Anchovies,94,"antipasti,starter,snack,appetizer,antipasto,hor d'oeuvre",356.02,4.74,0.08,60.33,48.39,4.99,18.76,88.66,1.92,0.19,53.01,0.12,30.96,145.73,0.09,0.75,0.11,16.55,0.29,0.42,0.07,4.44,0.35,88.84,0.23,17.46,0,0,0,31.47,9.64,8.87,"anchovies,cayenne pepper,cherry tomatoes,crusty bread,eggs,extra virgin olive oil,flour,olive oil,salt and pepper"
7,"Tomato & Anchovies With Bread Crumbs, Basil & Red Onion   Recip",105,side dish,142.07,1.4,2.63,7.2,89.34,2.69,6.98,55.13,1.14,0.09,46.59,0.13,23.05,218.36,0.09,0.48,0.2,17.32,0.11,0.2,0.09,1.53,1.37,498.84,0,13.29,8.57,0,0,9.24,10.67,4.44,"anchovy,basil leaves,bread crumbs,extra virgin olive oil,pepper,red onion,sherry vinegar,tomato"
9,Marinated Fresh Anchovies: Alici Marinate,100,"lunch,main course,main dish,dinner",208.61,2.28,0.27,68.04,1904.29,16.3,42.08,216.37,5.27,0.32,210.52,0.08,24.6,558.27,0.29,2.19,0.24,59.22,0.7,0.8,0.24,2.47,1.49,1271.31,0,130.12,10.29,0,0,11.29,2.96,23.79,"fresh anchovies,garlic,olive oil,oregano,parsley,red chile flakes,sea salt,white wine vinegar"
10,Marinated Boquerones,200,"lunch,main course,main dish,dinner",262.15,3.04,3.69,50,287.85,12.59,30.61,173.13,3.68,0.29,140.54,0.1,51.04,540.94,0.21,1.71,0.19,49.36,0.52,0.82,0.39,3.75,1.97,2830.48,0,78.82,114.99,0,0,18.35,6.19,18.06,"bell pepper,chillies,coarse sea salt,extra-virgin olive oil,fresh anchovies,fresh parsley,fresh thyme,garlic cloves,juice of lemon,sherry vinegar"
11,Spaghetti With Walnuts And Anchovies,100,"lunch,main course,main dish,dinner",582.98,2.9,3.61,8.67,107.69,2.17,74.23,347.64,2.14,0.13,136.43,0.18,39.61,355.42,0.64,2.43,1.74,94.13,0.09,0.65,0.31,0.28,4.96,0,0,0,1.18,0,0,16.3,88.56,20.51,"garlic cloves,pecorino,spaghetti,walnuts"
